url,arquivo,titulo,data_publicacao,data_atualizacao,tipo_conteudo,categoria,tema_principal,marca,produto,ano_modelo,autor,metodo,testado_presencialmente,fontes_presentes,preco_com_data,imagem_com_licenca,risco_editorial,duplicidade,trafego,impressoes,cliques,links_internos,links_externos,decisao,prioridade,responsavel,status,observacoes
/bicicleta-de-estrada-nova-vs-usada-pros-e-contras-e-precos-no-brasil/,2026-08-02-9-bicicleta-de-estrada-nova-vs-usada-pros-e-contras-e-precos-no-brasil.md,Bicicleta de Estrada Nova vs Usada: Prós e Contras e Preços no Brasil,2026-08-02,2026-08-02,comparativo,comparativo,compra primeira bike,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-08-02),sem origem comprovada,medio,,baixo,,,,,atualizar,1,Sergio,nao_iniciado,Preços inconsistentes com outros posts. Caloi Elite Carbon citada a R$10k (vs R$4.999 no post 2). Conteúdo genérico.
/melhores-estradas-e-rotas-para-ciclismo-de-estrada-no-brasil-guia-por-regiao/,2026-07-21-29-melhores-estradas-e-rotas-para-ciclismo-de-estrada-no-brasil-guia-por-regiao.md,Melhores Estradas e Rotas para Ciclismo de Estrada no Brasil: Guia por Região,2026-07-21,2026-07-21,guia-de-compra,guia-de-compra,rotas,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,nao,sem origem comprovada,baixo,,baixo,,,,,manter,3,Sergio,nao_iniciado,Tema perene e útil. Tipo de conteúdo está incorreto (guia-de-compra em vez de guia-turistico). Remover ano do título.
/bem-vindo/,2026-07-16-bem-vindo.md,Bem-vindo ao Pedal Data,2026-07-16,2026-07-16,noticia,noticia,apresentação,,,2026,Sergio Arantes,desk-research,nao,sem fontes,nao,sem origem comprovada,baixo,,baixo,,,,,manter,3,Sergio,nao_iniciado,Post de boas-vindas. Baixo risco. Manter como está.
/como-escolher-o-tamanho-certo-de-bike-de-estrada-guia-completo-com-tabela-de-medidas/,2026-07-31-8-como-escolher-o-tamanho-certo-de-bike-de-estrada-guia-completo-com-tabela-de-medidas.md,Como Escolher o Tamanho Certo de Bike de Estrada: Guia Completo com Tabela de Medidas,2026-07-31,2026-07-31,guia-tecnico,guia-tecnico,tamanho de quadro,,,2026,Sergio Arantes,desk-research,nao,sem fontes,nao,sem origem comprovada,baixo,,medio,,,,,atualizar,3,Sergio,nao_iniciado,Guia perene. Remover ano. Adicionar tabelas de medidas reais com fontes. Conteúdo razoável.
/comparativo-5-melhores-bikes-de-estrada-ate-r-5-000-em-2026/,2026-07-11-2-comparativo-5-melhores-bikes-de-estrada-ate-r-5-000-em-2026.md,"Comparativo: 5 Melhores Bikes de Estrada Até R$ 5.000 em 2026",2026-07-11,2026-07-11,comparativo,comparativo,guias de compra,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-07-11),sem origem comprovada,alto,P2 (R$10k),baixo,,,,,reescrever,1,Sergio,nao_iniciado,"Caloi Elite Carbon a R$4.999 - preço irreal para carbono. ""Soul 100"" - marca desconhecida, possível confusão. Conteúdo genérico. Sem fontes reais."
/comparativo-5-melhores-bikes-de-estrada-ate-r-10-000-em-2026/,2026-07-22-3-comparativo-5-melhores-bikes-de-estrada-ate-r-10-000-em-2026.md,"Comparativo: 5 Melhores Bikes de Estrada até R$ 10.000 em 2026",2026-07-22,2026-07-22,comparativo,comparativo,guias de compra,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-07-22),sem origem comprovada,alto,P2 (R$5k),baixo,,,,,reescrever,1,Sergio,nao_iniciado,"""Trekk 1.1"" - marca escrita errada (Trek). Caloi Elite Carbon R$9.500 vs R$4.999 em outro post. Conteúdo genérico. ""Suporte para garrafa"" apontado como ponto fraco - questionável."
/guia-completo-melhor-bike-de-estrada-para-iniciantes-em-2026/,2026-06-27-1-guia-completo-melhor-bike-de-estrada-para-iniciantes-em-2026.md,"Guia Completo: Melhor Bike de Estrada para Iniciantes em 2026",2026-06-27,2026-06-27,guia-tecnico,guia-tecnico,guias de compra,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-06-27),sem origem comprovada,alto,P9 P10,baixo,,,,,reescrever,1,Sergio,nao_iniciado,"""Shimano Sora"" listada como bike (confusão componente x modelo). Preços genéricos. Fontes são placeholders. Deve ser fundido com posts 2 e 10."
/guia-de-compra-seu-orcamento-ideal-para-a-primeira-bike-de-estrada-em-2026/,2026-06-28-10-guia-de-compra-seu-orcamento-ideal-para-a-primeira-bike-de-estrada-em-2026.md,"Guia de Compra: Seu Orçamento Ideal para a Primeira Bike de Estrada em 2026",2026-06-28,2026-06-28,guia-de-compra,guia-de-compra,guias de compra,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,sim (2026-06-28),sem origem comprovada,alto,P1 P9,baixo,,,,,fundir,1,Sergio,nao_iniciado,"Deve ser fundido com post 1 (guia iniciantes). ""Caloi 10"" - modelo vago. Preços sem fontes. Duplicata temática com posts 1 e 9."
/inovacoes-em-componentes-de-bike-2026-grupos-eletronicos-rodas-de-carbono-e-sensores-de-potencia/,2026-07-12-20-inovacoes-em-componentes-de-bike-2026-grupos-eletronicos-rodas-de-carbono-e-sensores-de-potencia.md,"Inovações em Componentes de Bike 2026: Grupos Eletrônicos, Rodas de Carbono e Sensores de Potência",2026-07-12,2026-07-12,noticia,noticia,inovações,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,nao,sem origem comprovada,medio,,baixo,,,,,atualizar,3,Sergio,nao_iniciado,Tema amplo. Separar em artigos menores ou focar. Adicionar fontes de lançamentos reais.
/lancamentos-de-bikes-de-estrada-2026-o-que-esperar-das-principais-marcas/,2026-07-07-17-lancamentos-de-bikes-de-estrada-2026-o-que-esperar-das-principais-marcas.md,"Lançamentos de Bikes de Estrada 2026: O Que Esperar das Principais Marcas",2026-07-07,2026-07-07,noticia,noticia,lançamentos,,,2026,Sergio Arantes,desk-research,nao,sem fontes reais,nao,sem origem comprovada,alto,,baixo,,,,,remover_redirecionar,2,Sergio,nao_iniciado,"Afirmações sobre lançamentos sem fontes. Alto risco de informação errada. Redirecionar para posts específicos de cada marca."
